German,GermanToEnglish,French,FrenchToEnglish
bereit,ready,prêt,ready
ich,I,je,I
sie,she,de,of
das,the,est,is
ist,is,pas,not
du,you,le,the
nicht,not,vous,you
die,the,la,the
und,and,tu,you
es,it,que,than
der,the,un,a
was,What,il,he
wir,weather,et,and
er,he,à,To
zu,to,a,To
ein,a,ne,born
in,in,les,the
mit,with,ce,this
mir,me,en,in
den,the,on,we
wie,how,ça,that
ja,Yes,une,a
auf,on,ai,have
mich,me,pour,for
so,so,des,from
eine,one,moi,me
aber,but,qui,who
hier,here,nous,we
sind,are,avant,before
fÃ¼r,for,mais,corn
von,from,me,me
haben,to have,dans,in
hat,Has,du,of
dich,you,bien,good
war,was,elle,she
dass,that,si,if
wenn,if,tout,all
an,at,plus,more
da,there,non,no
nein,no,mon,my
bin,am,suis,am
noch,still,te,you
dir,to you,au,to
nur,only,avec,with
habe,have,va,go
ihr,your,oui,Yes
sich,themselves,toi,you
einen,a,fait,made
uns,US,ils,they
hast,have,as,have
dem,to the,être,to be
ihn,him,faire,to do
aus,the end,se,be
kann,can,comme,like
gut,Well,était,was
auch,even,sur,on
schon,beautiful,quoi,what
jetzt,now,ici,here
im,in the,sais,know
sein,be,lui,him
mal,times,veux,want
dann,then,ma,my
meine,my,là,the
als,as,rien,nothing
um,around,dit,said
mein,my,es,es
doch,but,où,or
bist,are you,votre,your
wird,will,pourquoi,Why
keine,no,sont,are
nach,after,cette,this
alles,All,quand,when
man,one,par,through
lch,loll,son,his
oder,or,ton,your
nichts,nothing,peux,can
wo,Where,vais,am going to
werden,will,dire,to say
weiss,white,alors,so
will,want,comment,How?/What?
geht,goes,avez,have
mehr,more,bon,Well
warum,why,ou,Where
hab,have,très,very
ihnen,them,merci,thank you
bitte,You're welcome,ont,have
etwas,some,même,same
bei,at,jamais,never
muss,got to,aussi,too
los,Come on,voir,see
immer,always,chose,thing
oh,Oh,allez,go
vor,before,tous,all
mann,man,deux,of them
zum,to the,ces,those
wieder,again,faut,should
sehr,very,sa,her
sehen,see,êtes,are
sagen,to say,été,summer
also,so,ta,your
gehen,walk,fais,do
wer,who,avoir,to have
alle,Everyone,peut,may
denn,because,autre,other
machen,do,besoin,need
ihm,him,encore,Again
diese,these,maintenant,now
komm,come over,peu,little
danke,thanks,mes,my
euch,you,vraiment,really
einem,a,temps,time
tun,to do,notre,our
einer,a,toujours,always
gibt,gives,vie,life
nie,never,sans,without
aber,but,juste,just
des,of,oh,Oh
soll,target,avait,had
kein,no,accord,OK
vielleicht,perhaps,vu,seen
weg,path,monde,world
deine,yours,quelque,some
wissen,to know,fois,times
am,at the,aller,go
werde,will,trop,too much
leben,Life,viens,come
kommen,come,crois,believe
kommt,comes,dieu,God
müssen,have to,dois,have
viel,much,homme,man
wirklich,really,père,father
frau,Mrs,sûr,sure
hatte,would have,aux,of
heute,today,leur,their
